,job_title,job_link,company_name,company_link,salary,currency,category,contract,experience,benefit,requirement,industry,company_size,company_location,job_location,posted,updated,scrapped_time
680,Product Owner/Product Manager(Website Builder),https://glints.com/vn/opportunities/jobs/product-owner-product-managerwebsite-builder/4e93250f-7c40-404c-95ca-61123794501a,Opencommerce Group,https://glints.com/vn/companies/opencommerce-group/6fe7f07e-dd42-4a0a-99ba-c5c339052839,,,Product Management,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"Product Owner,Product Management,UI/UX Design",,201-500 nhân viên,"Địa chỉ văn phòngSố 130 ngõ 360 Xã Đàn, Q. Đống Đa, Hà Nội",Hà Nội,30 ngày trước,nhật 30 ngày trước,2022-11-11 14:54:20
681,Marcom Team Leader,https://glints.com/vn/opportunities/jobs/marcom-team-leader/62519da4-4b78-48e5-9888-3b63cc1f9988,Công ty cổ phần Đầu tư Địa ốc Đại Quang Minh,https://glints.com/vn/companies/cong-ty-co-phan-dau-tu-dia-oc-dai-quang-minh/f7844642-42f9-41ee-adb5-8b746287007e,VND20.000.000 - 25.000.000/month,VND,Marketing,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Public Relationship,Marketing Communications,Public Relations Writing,Good Communication,Public Relations Campaign,Public Relation Officer,Digital Public Relations,Communication Skills,Public Relation,Communication,Community Development,Strong Communication And Interpersonal Skills,Good Communication Skills,Public Relations,Head of Public Relations",Real Estate,"5001 - 10,000 nhân viên","Địa chỉ văn phòngSố 10 Mai Chí Thọ, Phường Thủ Thiêm, Tp. Thủ Đức, Tp. Hồ Chí Minh.",Ho Chi Minh City,9 ngày trước,nhật 6 ngày trước,2022-11-11 14:54:24
682,Office Manager ,https://glints.com/vn/opportunities/jobs/office-manager/cea3c928-0486-4377-92e3-39b48aca347f,Headhunt Viet Nam,https://glints.com/vn/companies/headhunt-viet-nam/5cc77d7c-37cc-416e-98ef-b11a39627595,VND45.000.000 - 50.000.000/month,VND,Management,Việc làm fulltime,5 - 10 năm kinh nghiệm,,"Manufacturing,Operations Management,Export Import,Senior Management,Report Writing",,11-50 nhân viên,Địa chỉ văn phòng119 Điện Biên Phủ Đa Kao HCM,Ho Chi Minh City,17 ngày trước,nhật 15 ngày trước,2022-11-11 14:54:30
683,Senior Marketing Executive (Product Marketing),https://glints.com/vn/opportunities/jobs/senior-marketing-executive-product-marketing/973f06f6-5ba4-43c0-b850-18f693758d09,Công ty Cổ phần Cơ điện lạnh (REE Corporation),https://glints.com/vn/companies/cong-ty-co-phan-co-dien-lanh-ree-corporation/3ed51304-6131-4204-af3d-02428e6938d0,USD600 - 800/month,USD,Marketing,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Online Marketing,Market Research,Product Marketing,Brand Marketing,Trade Marketing",,501 - 1000 nhân viên,"Địa chỉ văn phòngSố 364 đường Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Ho Chi Minh City,4 ngày trước,nhật 4 ngày trước,2022-11-11 14:54:36
684,NHÂN VIÊN KINH DOANH ,https://glints.com/vn/opportunities/jobs/nhan-vien-kinh-doanh/0c7d0db1-8f9f-4f2a-b9ac-a78ab8f4b61c,CÔNG TY CỔ PHẦN  ĐẦU TƯ PHÁT TRIỂN ANH VÀ EM,https://glints.com/vn/companies/cong-ty-co-phan-dau-tu-phat-trien-anh-va-em/b76632b7-f936-4b3b-8b90-ebcdc20b9de5,,,Business Development / Sales,Việc làm fulltime,Dưới một năm kinh nghiệm,,"Negotiation Skill,Sales,Tư Duy Logic",,11-50 nhân viên,"Địa chỉ văn phòngTrụ sở chính: Số 28A, N445/68 Nguyễn Khang, Yên Hòa, Cầu Giấy, Hà Nội Văn phòng Hà Nội: Sảnh B – Tòa nhà N09B1, Thành Thái, Cầu Giấy, Hà Nội Văn phòng Hồ Chí Minh: 230 Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP Hồ Chí Minh",Hà Nội,3 tháng trước,nhật 3 tháng trước,2022-11-11 14:54:38
685,[Glints 5 Ngày] Test engineer,https://glints.com/vn/opportunities/jobs/glints-5-ngay-test-engineer/27093ebb-fa63-4d96-94da-be4338703fbf,Motorola Solutions Vietnam,https://glints.com/vn/companies/motorola-solutions-vietnam/e49cba10-9a46-48e7-8c13-90d07c5379e6,USD900 - 1.100/month,USD,Software Engineering,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"MySQL,English Communication,English,Hardworking,Mssql",Telecommunications,201-500 nhân viên,"Địa chỉ văn phòngCSC center, 15th floor, ICON4, 243A De La Thanh Street, Lang Thuong, Dong Da, Ha Noi, Vietnam",Ho Chi Minh City,23 ngày trước,nhật 4 ngày trước,2022-11-11 14:54:47
686,[Glints 5 Ngày] Backup Administrator,https://glints.com/vn/opportunities/jobs/glints-5-ngay-backup-administrator/07672488-ad45-43a2-8876-b79ad5571de5,Marshal Funds,https://glints.com/vn/companies/marshal-funds/91fcd969-cefd-4695-a7eb-edbaa7609e94,USD3.000 - 3.500/month,USD,Software Engineering,Việc làm fulltime,Hơn 10 năm kinh nghiệm,,"Backup Management,Technical Documentation,Virtualization Technology,Data Protection",,11-50 nhân viên,,Ho Chi Minh City,18 ngày trước,nhật 4 ngày trước,2022-11-11 14:54:54
687,MARKETING MANAGER,https://glints.com/vn/opportunities/jobs/marketing-manager/9473c9af-2a41-4ff0-a984-64df085f01ff,GOODFOOD,https://glints.com/vn/companies/goodfood/e9c8a549-9b74-4d5b-96b1-070bbeaec530,,,Marketing,Việc làm fulltime,5 - 10 năm kinh nghiệm,,"Multitasking Skills,experience developing marketing ,enthusiastic and team oriented,Metrics-driven marketing mind,Highly Motivated",,201-500 nhân viên,,Ho Chi Minh City,2 tháng trước,nhật 16 ngày trước,2022-11-11 14:54:58
688,UI / UX Designer,https://glints.com/vn/opportunities/jobs/ui-ux-designer/19d15e25-66be-49ce-a921-d3a6ecff812e,Marathon Education,https://glints.com/vn/companies/marathon-education/aeb1b2db-6504-40b4-bf6e-f55c16393141,,,Design,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"UI/UX Design,Web Design,Product Design,Design Thinking",,51-200 nhân viên,"Địa chỉ văn phòng3 Bideford Rd, 07-01",Ho Chi Minh City,7 tháng trước,nhật hôm qua,2022-11-11 14:55:02
689,Logistic Executive,https://glints.com/vn/opportunities/jobs/logistic-executive/56590192-84c4-4ba6-94f7-04a04e89775b,Rohto-Mentholatum Việt Nam,https://glints.com/vn/companies/rohto-mentholatum-viet-nam/634fe024-b0a0-4aeb-8ecf-1c4f8cedab37,,,Other,Việc làm fulltime,,,"Strategic Management,Lobby & Negotiation skill,Performance Management,Logistics & Purchasing,Logistics Management",Pharmaceuticals,1001 - 5000 nhân viên,"Địa chỉ văn phòng16 VSIP đường số 5 Khu công nghiệp Việt Nam - Singapore, P. Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương",Ho Chi Minh City,4 tháng trước,nhật 12 giờ trước,2022-11-11 14:55:07
